"unid","gender","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","financial_situation_now","financial_situation_5years","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age_squared","survey_year","survey_month"
43132,"0","0","0","0",6,4,1,NA,"1","1",4,9,"0",NA,NA,6,NA,6,625,2017,7
42317,"1","0","0","0",5,NA,0,0,"1","0",1,4,"1",1,NA,8,NA,2,576,2016,12
90259,"0","0","0","0",5,3,0,NA,"0","1",1,5,"0",NA,NA,5,NA,7,441,2017,12
54879,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,576,2018,6
97637,"0","0","0","1",4,4,0,NA,"1","1",5,8,"1",8,8,7,2,5,361,2017,2
18488,"0","0","0","1",4,1,3,NA,"0","1",4,10,"1",6,NA,9,NA,6,784,2017,12
36483,"0","1","0","1",4,NA,0,2,"0","1",1,10,"0",6,NA,3,NA,10,576,2016,9
46509,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,625,2018,7
7433,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,900,2018,5
48305,"0","0","1","1",5,NA,0,1,"1","1",3,9,"0",3,5,8,NA,7,576,2016,12
16723,"0","0","0","0",2,NA,1,1,"1","1",2,4,"1",6,NA,5,NA,3,729,2016,8
59572,"1","0","1","1",2,NA,0,2,"1","1",5,10,"0",7,8,4,4,3,484,2016,8
62696,"0","0","0","0",1,1,0,NA,"0","1",1,6,"0",5,6,8,4,5,529,2017,2
45052,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,625,2018,5
36247,"0","0","0","0",4,4,1,NA,"0","1",1,10,"1",4,NA,3,NA,10,625,2017,5
24044,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,NA,676,2017,5
65466,"0","0","1","0",6,NA,0,1,"1","1",2,8,"0",3,NA,7,NA,7,441,2016,2
64601,"1","0","0","1",5,4,0,NA,"1","1",1,10,"0",NA,NA,5,NA,9,529,2018,2
6924,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,7,9,5,NA,961,2018,8
86137,"1","0","1","0",3,NA,1,0,"0","0",6,10,"0",9,7,0,4,3,400,2017,2
100322,"0","0","0","0",3,2,1,NA,"1","1",1,9,"1",NA,NA,3,NA,10,361,2017,10
62677,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,9,4,NA,484,2016,2
13119,"0","0","1","1",7,NA,0,1,"1","1",NA,NA,"1",6,5,6,3,NA,729,2016,2
26655,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,1,NA,4,NA,NA,625,2016,10
28470,"1","0","1","1",3,NA,0,0,"1","0",5,8,"1",7,7,5,5,6,625,2016,2
77271,"1","0","0","0",0,NA,0,NA,"0","0",2,7,NA,NA,NA,4,NA,4,484,2017,11
56539,"0","1","1","1",1,1,0,NA,"0","1",1,10,"1",8,5,6,5,7,576,2017,11
36745,"0","0","0","0",5,NA,1,1,"1","1",3,6,"0",7,3,6,1,2,576,2016,3
46337,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,3,4,0,NA,NA,625,2018,7
36109,"1","0","1","0",4,3,0,NA,"1","1",3,9,"1",7,7,0,5,4,625,2017,3
67059,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,NA,5,NA,NA,576,2018,9
79403,"0","0","0","0",4,NA,0,4,"1","1",2,8,"0",5,4,6,NA,5,400,2016,5
35343,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,676,2018,1
92995,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,NA,0,NA,NA,361,2016,10
49084,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,576,2017,5
71909,"1","0","0","0",6,NA,1,1,"1","1",1,8,"0",3,4,5,NA,8,441,2016,8
100168,"0","0","1","0",1,NA,0,0,"0","0",5,7,"0",4,5,5,2,0,324,2016,12
63068,"0","0","0","0",4,NA,1,1,"1","1",1,9,"1",6,NA,2,NA,9,484,2016,12
86287,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,441,2018,1
