"unid","gender","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","financial_situation_now","financial_situation_5years","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age_squared","survey_year","survey_month"
41964,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,4,4,NA,NA,625,2018,6
15241,"0","1","0","0",2,NA,3,1,"1","1",2,8,"0",4,5,3,NA,7,676,2016,3
33702,"1","1","1","0",4,NA,1,1,"0","1",1,1,"0",5,5,2,NA,3,576,2016,4
101252,"0","1","1","1",7,5,0,NA,"1","1",1,7,"0",10,NA,0,NA,4,361,2018,4
83023,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,400,2016,7
80756,"0","0","0","0",1,1,1,NA,"0","0",3,10,"0",4,NA,0,NA,6,441,2017,3
85374,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,484,2018,8
68158,"1","0","0","1",3,NA,0,1,"0","1",1,7,"1",7,8,4,6,4,441,2016,2
59944,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,4,NA,NA,576,2018,10
68536,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,6,2,3,NA,576,2018,11
17380,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,1,NA,NA,784,2018,3
33247,"1","1","0","0",2,NA,1,1,"0","1",1,8,"0",7,NA,6,NA,4,625,2016,10
49786,"0","0","0","0",4,3,0,NA,"0","1",1,10,"0",NA,NA,3,NA,8,625,2018,2
16962,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,784,2018,3
98435,"1","0","1","1",4,0,0,NA,"1","1",2,6,"0",NA,NA,5,NA,2,361,2017,11
31785,"0","1","0","0",7,NA,0,1,"1","1",4,6,"0",3,NA,5,NA,0,576,2016,4
50166,"1","1","1","1",3,3,0,NA,"0","1",2,10,"1",9,NA,8,NA,7,576,2017,6
85832,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,NA,8,NA,NA,484,2018,7
98602,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,400,2018,6
33026,"0","0","1","0",4,NA,1,2,"1","1",2,5,"1",6,5,3,2,5,625,2016,7
49231,"0","0","1","0",5,NA,0,1,"0","1",2,8,"0",2,NA,9,NA,6,576,2017,4
68280,"1","1","0","0",1,15,0,NA,"0","1",2,6,"0",NA,NA,5,NA,5,529,2017,12
902,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1156,2018,3
46301,"0","0","1","1",3,2,1,NA,"1","1",1,10,"0",NA,NA,0,NA,10,576,2017,8
98865,"0","1","1","1",2,0,0,NA,"1","1",10,9,"1",NA,NA,3,NA,-1,361,2018,3
37000,"0","0","1","0",8,NA,2,0,"1","0",3,9,"1",7,6,2,2,6,625,2017,2
51323,"1","0","1","1",15,15,0,NA,"1","1",2,7,"1",NA,NA,1,NA,7,576,2018,2
99562,"0","0","0","1",13,10,0,NA,"1","1",1,10,"0",7,NA,4,NA,10,361,2017,6
70127,"1","1","1","1",4,NA,0,2,"0","1",4,8,"0",9,9,4,6,0,441,2016,7
30928,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,676,2018,1
35670,"1","0","1","1",2,NA,0,1,"1","1",4,8,"0",7,6,7,3,2,576,2016,6
58890,"1","0","1","1",3,3,0,NA,"0","1",2,8,"1",NA,NA,1,NA,8,576,2018,1
20374,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,4,NA,729,2017,9
59011,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,576,2018,2
8626,"1","1","1","0",1,NA,2,0,"0","0",1,10,"1",5,6,9,3,13,784,2016,7
33528,"0","0","1","1",3,15,0,NA,"0","1",3,7,"1",5,NA,5,NA,3,625,2017,2
67287,"1","1","0","0",4,NA,0,NA,"0","0",5,9,"1",6,5,4,NA,4,484,2017,3
13383,"1","0","1","1",5,NA,2,1,"1","1",2,6,"1",6,5,3,NA,0,784,2017,3
21344,"0","0","0","0",7,NA,1,1,"1","1",4,9,"0",4,4,7,NA,7,625,2016,2
8518,"0","0","0","0",1,NA,1,1,"0","1",1,6,"0",6,5,6,NA,8,784,2016,6
2533,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,1089,2018,5
6604,"1","0","0","1",1,1,1,NA,"0","1",1,10,"1",6,NA,6,NA,9,841,2017,1
73520,"0","0","1","0",3,1,0,NA,"1","1",2,10,"0",8,NA,5,NA,7,484,2017,6
83831,"0","0","0","0",6,NA,0,1,"1","1",2,8,"0",6,6,1,3,5,400,2016,9
60030,"0","0","1","0",5,NA,0,1,"1","1",1,5,"1",4,NA,8,NA,6,529,2017,2
84113,"0","1","1","0",5,NA,0,3,"1","1",4,9,"0",7,6,0,2,7,400,2016,10
98518,"0","0","1","1",10,1,0,NA,"1","1",1,8,"1",NA,NA,1,NA,8,361,2017,10
86406,"0","0","1","0",3,1,0,NA,"1","1",3,9,"0",7,NA,7,NA,7,400,2017,1
41557,"1","1","0","0",1,1,0,NA,"0","1",2,4,"1",7,3,0,5,2,576,2017,5
93261,"0","0","0","0",4,NA,0,2,"0","1",1,10,"1",1,NA,0,NA,6,361,2016,7
30658,"0","0","1","1",4,1,0,NA,"1","1",2,10,"1",NA,NA,8,NA,5,676,2017,10
64464,"1","0","0","1",4,NA,0,0,"1","0",2,5,"0",6,4,3,4,2,441,2016,3
31548,"0","0","0","0",7,NA,2,1,"1","1",4,7,"1",4,5,5,NA,4,625,2016,10
37802,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,7,8,4,NA,676,2018,9
80518,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,1,NA,NA,484,2018,5
55723,"1","0","1","1",2,NA,0,1,"0","1",3,10,"0",7,NA,2,NA,5,529,2016,7
64761,"0","0","1","1",2,2,0,NA,"0","0",1,6,"1",NA,NA,0,NA,6,529,2017,7
101917,"0","0","0","0",7,4,0,NA,"1","1",1,6,"0",6,7,7,3,5,289,2017,6
37741,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,625,2017,10
14736,"0","0","0","0",8,NA,1,1,"0","1",1,10,"0",3,NA,1,NA,11,729,2016,4
70302,"0","1","0","1",7,NA,1,1,"1","1",2,10,"1",4,6,3,NA,7,441,2016,3
21318,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,NA,NA,676,2016,5
27983,"0","0","0","0",5,NA,1,NA,"1","0",2,9,"0",5,5,5,NA,7,625,2016,8
49750,"0","0","0","0",5,NA,0,1,"0","1",1,5,"1",5,5,1,NA,1,529,2016,10
102295,"0","0","0","0",8,5,0,NA,"0","1",4,8,"0",2,NA,2,NA,4,289,2017,6
85395,"1","0","1","1",4,NA,0,1,"1","1",2,10,"1",9,NA,3,NA,7,400,2016,11
22599,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,7,6,2,NA,625,2016,3
4987,"0","1","0","0",0,NA,1,NA,"0","0",1,10,NA,NA,NA,8,NA,13,961,2018,3
66992,"0","0","0","1",2,15,1,NA,"0","1",1,6,"0",NA,NA,3,NA,6,529,2017,7
41448,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,3,5,6,NA,NA,529,2016,5
48666,"0","1","0","0",2,2,1,NA,"1","1",4,7,"0",NA,NA,2,NA,5,576,2017,8
57884,"0","0","0","0",3,NA,1,0,"0","0",3,6,"1",4,5,9,NA,5,529,2016,10
41891,"0","0","1","0",4,4,0,NA,"0","1",1,6,"0",NA,NA,9,NA,3,625,2018,1
100163,"0","0","1","0",3,2,0,NA,"1","1",6,9,"0",NA,NA,6,NA,2,361,2017,8
47993,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,625,2018,5
92024,"0","0","0","0",3,7,0,NA,"1","1",5,10,"0",5,5,4,4,2,400,2017,3
83911,"1","1","0","0",3,3,0,NA,"0","1",2,6,"0",NA,NA,7,NA,8,484,2018,3
61091,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,576,2018,8
55727,"1","0","1","1",1,NA,0,1,"0","1",2,10,"0",6,5,0,4,5,529,2017,2
67594,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,8,4,NA,484,2017,1
87481,"0","0","0","0",1,1,0,NA,"1","1",6,9,"0",NA,NA,0,NA,-3,441,2017,10
32739,"1","0","1","0",6,2,0,NA,"0","1",1,6,"0",NA,NA,4,NA,0,676,2017,9
22096,"0","1","0","0",1,NA,0,1,"0","1",4,4,"0",6,7,4,NA,1,625,2016,2
32404,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,676,2018,4
52931,"0","0","0","0",4,NA,0,2,"0","1",3,9,"1",3,4,1,NA,8,484,2016,4
13910,"1","0","1","1",3,3,0,NA,"0","1",3,10,"0",6,NA,8,NA,7,841,2018,1
20134,"1","1","0","0",8,NA,1,0,"1","0",2,5,"1",1,5,3,NA,6,676,2016,7
16018,"0","0","1","1",9,NA,0,1,"1","1",2,7,"1",3,4,0,NA,5,676,2016,3
45163,"0","0","1","0",1,NA,0,0,"0","0",1,10,"0",4,4,8,NA,11,576,2016,11
96799,"0","0","0","0",5,2,0,NA,"1","1",5,10,"1",NA,NA,3,NA,6,361,2017,7
39101,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,676,2018,8
18321,"0","0","0","0",4,NA,0,1,"0","1",2,7,"1",5,7,7,6,8,729,2016,10
36903,"1","0","0","0",5,3,1,NA,"1","1",NA,NA,"1",5,NA,0,NA,NA,625,2017,1
65752,"1","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,529,2018,5
34083,"1","0","1","1",0,NA,0,0,"0","0",1,10,"0",2,5,0,NA,8,576,2016,3
67474,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,576,2018,7
17592,"0","0","0","0",1,15,0,NA,"0","1",2,10,"0",5,NA,4,NA,10,729,2017,6
6600,"0","0","0","0",7,NA,1,1,"1","1",NA,NA,"1",4,4,4,NA,NA,784,2016,3
66582,"0","1","0","0",7,5,1,NA,"1","1",3,6,"0",5,NA,7,NA,3,484,2017,3
52394,"0","0","0","0",3,NA,1,2,"1","1",2,7,"0",6,5,1,4,4,529,2016,7
98721,"0","0","0","1",12,6,1,NA,"1","1",2,9,"1",NA,NA,3,NA,6,361,2018,1
35702,"0","0","0","0",6,5,0,NA,"0","1",1,6,"0",6,6,4,6,7,625,2017,2
88123,"0","0","1","0",2,2,0,NA,"0","1",4,10,"0",7,6,9,3,7,400,2017,4
28132,"1","0","1","1",4,NA,1,2,"1","1",1,5,"0",6,5,5,3,3,625,2016,5
18401,"1","1","1","1",7,5,0,NA,"1","1",2,10,"0",5,4,0,3,8,729,2017,3
18845,"1","1","1","1",11,NA,2,1,"0","1",4,9,"1",6,NA,4,NA,8,676,2016,5
53790,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,3,4,0,NA,NA,576,2017,9
27100,"1","0","0","0",4,14,0,NA,"1","1",4,8,"1",NA,NA,1,NA,4,676,2017,6
81469,"0","0","0","0",0,NA,0,NA,"0","0",4,6,NA,NA,NA,3,NA,3,484,2017,12
49674,"1","1","1","1",3,2,1,NA,"1","1",3,8,"1",NA,NA,5,NA,5,576,2017,8
7565,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,2,NA,3,NA,NA,784,2016,6
85789,"0","0","0","0",2,NA,0,1,"0","1",1,10,"0",7,6,3,4,12,400,2016,11
64289,"0","0","0","0",1,NA,0,1,"1","1",4,7,"1",6,4,9,NA,5,484,2017,3
29101,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,729,2018,8
95190,"1","0","0","0",7,15,0,NA,"0","1",3,9,"1",5,NA,3,NA,8,400,2017,10
64987,"0","0","0","0",2,NA,1,1,"0","1",3,10,"0",2,4,9,NA,6,484,2016,8
44703,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,NA,7,NA,NA,676,2018,10
92248,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,441,2018,5
78425,"0","0","0","1",7,NA,1,1,"1","1",4,8,"0",6,NA,5,NA,3,441,2016,11
26766,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,NA,4,NA,NA,729,2018,7
56480,"1","0","1","1",3,15,0,NA,"0","1",1,10,"1",NA,NA,9,NA,12,576,2018,2
75580,"1","1","1","1",6,NA,0,5,"1","1",7,10,"1",3,4,7,NA,1,400,2016,2
89600,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,0,NA,NA,441,2018,8
12212,"0","0","0","0",2,15,1,NA,"0","1",3,7,"1",6,6,2,3,6,784,2017,5
57824,"1","1","1","0",4,NA,0,0,"1","0",3,8,"1",2,5,0,NA,4,484,2016,3
12774,"0","0","1","0",6,NA,2,2,"0","1",2,10,"0",3,7,1,NA,7,729,2016,3
90837,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,441,2018,6
67362,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,576,2018,10
26905,"1","0","1","0",8,1,2,NA,"1","1",NA,NA,"1",NA,NA,7,NA,NA,729,2017,11
83372,"0","0","0","1",6,NA,0,3,"1","1",1,10,"0",3,5,8,NA,10,400,2016,8
64115,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,576,2018,7
20345,"1","1","0","0",2,NA,0,1,"1","1",1,10,"1",6,NA,9,NA,8,676,2016,5
68485,"0","0","1","0",7,NA,1,2,"1","1",5,10,"0",4,5,2,NA,3,441,2016,2
46458,"0","1","0","1",15,NA,0,0,"1","0",4,10,"0",7,5,2,NA,6,576,2017,5
47927,"1","0","0","0",9,NA,0,2,"1","1",1,4,"0",5,4,5,NA,1,529,2016,9
50342,"0","1","0","0",3,NA,0,2,"1","1",4,10,"1",5,NA,6,NA,3,529,2016,2
36566,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,625,2017,7
87145,"1","0","1","0",2,2,0,NA,"1","1",3,6,"1",NA,NA,1,NA,5,441,2017,12
80844,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,484,2018,6
17375,"0","1","0","0",5,NA,0,2,"0","1",NA,NA,"0",7,6,6,NA,NA,729,2016,11
31975,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,9,7,7,NA,NA,729,2018,9
91430,"0","0","0","1",6,6,0,NA,"1","1",2,8,"0",NA,NA,3,NA,6,400,2017,6
6607,"0","0","1","0",8,7,1,NA,"1","1",3,5,"1",NA,NA,7,NA,4,900,2017,12
43108,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,5,4,7,NA,NA,576,2016,7
13500,"0","0","1","0",5,4,0,NA,"1","1",1,8,"1",6,6,2,4,9,784,2017,10
7068,"0","0","1","1",0,NA,0,0,"1","0",1,10,"0",7,NA,8,NA,12,784,2016,2
73083,"1","1","1","1",4,NA,0,1,"0","1",4,9,"1",9,NA,7,NA,5,441,2016,9
78203,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,529,2018,7
100696,"0","1","1","1",2,NA,0,1,"0","1",1,7,"1",6,6,1,4,6,324,2016,11
24013,"0","0","1","0",5,3,0,NA,"1","1",1,5,"0",6,8,1,2,3,676,2017,1
92841,"0","0","0","0",3,NA,0,1,"1","1",1,10,"1",6,5,5,3,10,361,2016,7
50843,"1","1","0","1",3,NA,0,0,"0","0",NA,NA,"0",4,4,5,NA,NA,529,2016,8
12367,"1","0","1","1",2,NA,0,1,"0","1",1,7,"0",3,5,3,NA,2,729,2016,3
71611,"0","0","1","0",3,NA,0,1,"0","1",2,10,"1",8,6,2,5,9,529,2018,2
27258,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,0,NA,NA,729,2018,5
14150,"0","0","1","1",7,4,2,NA,"1","1",5,8,"1",NA,NA,6,NA,1,784,2017,11
27324,"1","1","0","0",3,3,0,NA,"0","1",1,4,"0",7,NA,8,NA,4,729,2018,2
26995,"0","0","1","1",3,6,1,NA,"1","1",10,10,"1",NA,NA,1,NA,2,729,2018,1
6898,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,4,4,4,NA,841,2016,10
13103,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,841,2017,10
27908,"0","0","0","1",6,NA,0,1,"1","1",4,10,"1",6,5,0,3,6,625,2016,6
83598,"0","0","1","0",7,NA,1,1,"1","1",3,8,"1",6,NA,4,NA,5,441,2017,5
51374,"0","1","0","1",4,2,1,NA,"1","1",1,7,"1",4,NA,5,NA,9,576,2017,6
60970,"0","1","1","0",10,NA,0,2,"0","1",4,7,"0",8,8,0,NA,3,484,2016,5
61302,"1","1","1","1",1,1,0,NA,"0","1",2,9,"1",9,8,4,7,10,529,2017,3
98422,"0","0","1","0",4,4,1,NA,"1","1",2,8,"1",NA,NA,6,NA,6,361,2017,12
36391,"1","0","0","0",0,NA,2,1,"1","1",3,9,"1",6,5,9,4,9,676,2017,11
41317,"0","0","1","1",3,NA,1,1,"0","1",1,10,"1",4,5,4,NA,10,529,2016,5
67739,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,529,2018,5
50854,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,5,7,2,NA,NA,625,2018,8
62923,"1","0","0","0",4,NA,0,2,"0","1",1,7,"0",6,6,8,NA,8,484,2016,5
44598,"1","0","1","0",4,4,0,NA,"0","1",4,8,"1",NA,NA,1,NA,1,576,2017,7
68787,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,441,2016,6
99415,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,3,NA,3,NA,NA,324,2017,3
78159,"0","0","0","0",4,NA,1,1,"1","1",1,10,"0",7,5,8,4,7,441,2016,8
91300,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,5,NA,400,2017,1
37501,"1","1","0","0",0,NA,0,0,"0","0",1,7,"0",6,5,7,2,5,576,2016,10
84494,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,6,5,3,NA,400,2016,5
62611,"0","0","1","1",4,2,1,NA,"1","1",3,10,"0",5,NA,6,NA,9,529,2017,7
96152,"1","1","0","0",1,1,0,NA,"0","0",2,6,"0",NA,NA,7,NA,2,400,2018,2
74847,"1","0","1","1",6,NA,1,0,"1","0",1,8,"0",3,NA,1,NA,6,484,2017,6
102264,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,324,2018,8
24397,"0","0","0","0",2,0,1,NA,"0","0",1,10,"0",6,NA,4,NA,12,729,2018,3
4842,"0","0","0","0",4,NA,2,2,"1","1",10,10,"0",3,NA,1,NA,-2,900,2016,10
46059,"1","1","1","0",3,NA,0,1,"0","1",1,8,"1",6,5,2,2,10,529,2016,5
10293,"0","0","0","0",2,NA,1,1,"1","1",1,1,"1",6,4,7,2,-2,784,2016,4
50027,"0","1","0","1",1,15,0,NA,"1","1",1,6,"0",NA,NA,9,NA,4,576,2017,5
85723,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,484,2018,5
87675,"0","0","0","0",1,0,0,NA,"0","1",4,9,"1",NA,NA,0,NA,6,441,2017,7
5503,"0","0","1","1",3,NA,1,1,"1","1",1,10,"0",3,4,8,NA,8,900,2017,6
52498,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,576,2017,9
68822,"0","0","1","1",6,NA,0,0,"1","0",1,10,"0",9,4,2,3,11,441,2016,6
52043,"0","1","0","1",2,NA,0,1,"0","1",1,9,"0",6,NA,3,NA,7,484,2016,2
62134,"1","0","0","1",4,NA,0,1,"0","1",4,4,"0",6,4,8,4,2,484,2016,6
38827,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,6,5,1,NA,676,2018,6
71322,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,4,NA,NA,529,2018,6
21764,"1","1","1","1",2,NA,0,1,"1","1",1,8,"0",7,4,8,3,10,676,2016,11
16239,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,841,2018,9
60598,"1","0","0","0",10,15,1,NA,"0","1",2,8,"0",2,5,7,2,8,529,2017,2
68146,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,529,2018,1
15669,"0","0","0","0",4,3,1,NA,"1","1",4,9,"0",NA,NA,3,NA,4,784,2017,9
65176,"0","0","0","0",3,5,0,NA,"1","1",2,9,"1",NA,NA,4,NA,5,529,2017,12
33704,"0","0","0","0",15,NA,0,0,"0","0",3,9,"0",10,9,7,6,5,625,2016,11
79683,"1","1","0","0",0,NA,0,NA,"0","0",3,5,NA,NA,NA,0,NA,4,484,2017,10
28337,"0","0","1","1",4,4,0,NA,"0","1",1,8,"0",7,NA,4,NA,7,676,2017,3
57891,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,576,2018,6
14644,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,8,3,NA,NA,841,2018,7
10820,"0","1","0","0",1,NA,1,0,"1","0",1,8,"0",7,4,5,4,3,841,2017,8
63696,"0","0","1","0",7,6,0,NA,"1","1",2,7,"0",NA,NA,2,NA,5,529,2017,7
2609,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,1089,2018,9
54421,"0","0","0","0",4,NA,1,NA,"1","0",5,10,"1",6,NA,0,NA,5,529,2017,1
56669,"0","1","1","1",2,2,0,NA,"0","1",3,6,"1",NA,NA,1,NA,0,576,2018,4
40130,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,5,7,0,NA,NA,676,2018,6
3894,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,3,NA,2,NA,NA,1024,2018,7
52687,"0","0","1","0",10,NA,2,0,"1","0",1,5,"1",5,7,9,NA,4,529,2017,4
25360,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,9,9,2,7,NA,729,2018,7
93080,"1","0","0","0",2,1,0,NA,"0","1",3,6,"1",NA,NA,4,NA,6,441,2018,3
53483,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,6,6,3,NA,625,2018,7
66329,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,529,2017,11
19769,"0","0","0","1",7,NA,2,1,"1","1",1,10,"1",4,NA,6,NA,9,676,2016,7
23484,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,784,2018,10
40375,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,625,2018,3
45670,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,625,2018,5
8010,"0","0","0","1",4,15,2,NA,"1","1",2,10,"0",NA,NA,4,NA,9,900,2017,10
76952,"0","1","0","0",5,NA,0,1,"1","1",1,9,"1",5,7,3,3,6,484,2018,4
102272,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,324,2018,8
91042,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,1,NA,NA,441,2018,5
79220,"0","0","0","0",5,NA,0,2,"1","1",4,7,"1",3,5,4,NA,4,400,2016,2
91421,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,441,2018,5
52623,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,576,2018,1
70657,"1","0","0","0",2,NA,0,1,"1","1",4,10,"0",6,NA,0,NA,6,441,2016,2
24817,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,5,5,5,NA,625,2016,3
31728,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,5,9,2,NA,625,2017,3
3270,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,NA,0,NA,NA,1024,2018,6
54101,"0","0","1","1",5,3,1,NA,"1","1",3,10,"0",NA,NA,7,NA,8,576,2017,8
61049,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,3,5,8,NA,NA,576,2018,9
62001,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,2,NA,484,2016,3
39260,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,1,NA,NA,676,2018,5
36705,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,676,2018,10
54691,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,6,2,NA,NA,625,2018,9
87775,"0","0","0","1",2,NA,0,1,"1","1",3,5,"1",5,NA,7,NA,2,400,2016,7
77849,"1","0","0","0",5,NA,0,2,"0","1",2,10,"0",9,NA,3,NA,10,441,2016,11
60757,"0","0","0","0",7,NA,0,1,"1","1",4,2,"1",2,NA,2,NA,-1,484,2016,11
88886,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,441,2018,5
57982,"0","0","0","0",3,NA,0,1,"0","1",2,10,"0",7,7,2,6,5,484,2016,8
45013,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,4,NA,NA,625,2018,6
29502,"1","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,729,2018,8
98874,"1","1","1","0",2,NA,0,0,"1","0",2,10,"0",1,NA,0,NA,8,361,2017,4
67719,"1","0","0","1",3,NA,0,0,"0","0",1,5,"0",7,6,7,4,2,441,2016,6
61413,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,576,2018,5
3232,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,1089,2018,10
99094,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,400,2018,5
18656,"1","0","1","1",10,NA,0,2,"1","1",7,5,"1",3,NA,7,NA,-1,676,2016,9
